algorithm,generation style,point count,hull size,heuristic,duration (s)
graham scan,rectangular,4096,21,no heuristic,0.0028957
graham scan,rectangular,4096,21,akl quadrilateral,0.0020763
graham scan,rectangular,4096,21,akl octahedral,0.0016213
jarvis march,circular,4096,4094,no heuristic,2.330485
jarvis march,circular,4096,4094,akl quadrilateral,2.3153113
jarvis march,circular,4096,4094,akl octahedral,2.3265509
graham scan,circular,4096,4094,no heuristic,0.0016283
graham scan,circular,4096,4094,akl quadrilateral,0.0017994
graham scan,circular,4096,4094,akl octahedral,0.0018484
jarvis march,radial,8192,68,no heuristic,0.0766052
jarvis march,radial,8192,68,akl quadrilateral,0.0304431
jarvis march,radial,8192,68,akl octahedral,0.0112671
graham scan,radial,8192,68,no heuristic,0.0033502
graham scan,radial,8192,68,akl quadrilateral,0.002939
graham scan,radial,8192,68,akl octahedral,0.0030393
jarvis march,rectangular,8192,19,no heuristic,0.021177
jarvis march,rectangular,8192,19,akl quadrilateral,0.0125559
jarvis march,rectangular,8192,19,akl octahedral,0.0032357
graham scan,rectangular,8192,19,no heuristic,0.0042561
graham scan,rectangular,8192,19,akl quadrilateral,0.0032557
graham scan,rectangular,8192,19,akl octahedral,0.0029676
jarvis march,circular,8192,8170,no heuristic,9.2540775
jarvis march,circular,8192,8170,akl quadrilateral,9.2555191
jarvis march,circular,8192,8170,akl octahedral,9.2585587
graham scan,circular,8192,8170,no heuristic,0.0033224
graham scan,circular,8192,8170,akl quadrilateral,0.0033682
graham scan,circular,8192,8170,akl octahedral,0.0037139
jarvis march,radial,16384,91,no heuristic,0.2105846
jarvis march,radial,16384,91,akl quadrilateral,0.0844421
jarvis march,radial,16384,91,akl octahedral,0.0318972
graham scan,radial,16384,91,no heuristic,0.0048923
graham scan,radial,16384,91,akl quadrilateral,0.0092639
graham scan,radial,16384,91,akl octahedral,0.011442
jarvis march,rectangular,16384,24,no heuristic,0.0521453
jarvis march,rectangular,16384,24,akl quadrilateral,0.0305382
jarvis march,rectangular,16384,24,akl octahedral,0.0116726
graham scan,rectangular,16384,24,no heuristic,0.0049457
graham scan,rectangular,16384,24,akl quadrilateral,0.0082836
graham scan,rectangular,16384,24,akl octahedral,0.0115398
jarvis march,circular,16384,16188,no heuristic,38.56805
jarvis march,circular,16384,16188,akl quadrilateral,37.4638293
jarvis march,circular,16384,16188,akl octahedral,36.9309211
graham scan,circular,16384,16188,no heuristic,0.0044321
graham scan,circular,16384,16188,akl quadrilateral,0.0078117
graham scan,circular,16384,16188,akl octahedral,0.0061709
jarvis march,radial,32768,100,no heuristic,0.4498587
jarvis march,radial,32768,100,akl quadrilateral,0.199207
jarvis march,radial,32768,100,akl octahedral,0.0847158
graham scan,radial,32768,100,no heuristic,0.0104968
graham scan,radial,32768,100,akl quadrilateral,0.0357568
graham scan,radial,32768,100,akl octahedral,0.0408848
jarvis march,rectangular,32768,23,no heuristic,0.1013472
